11657,1100,8
13727,2030,2
59892,3801,1
6538,3021,6
95811,2030,9
54500,1100,10
69741,2030,3
51166,2030,10
70009,9382,5
63152,2030,6
70758,1100,2
35580,2030,5
63199,1100,10
33078,2030,3
97480,9382,2
47223,1100,8
80308,3021,8
26691,1100,3
17194,3021,3
96584,2030,4
7615,9382,8
41536,9382,6
76919,9382,10
94136,3801,1
3347,9382,8
68458,1100,9
59999,3021,10
83729,9382,10
31439,9382,4
79830,3021,4
10678,1100,4
96932,3801,5
38683,3021,7
20308,9382,2
41884,9382,5
39944,2030,4
84433,2030,10
17238,3021,6
51999,3801,6
29639,3801,3
61772,1100,6
83184,1100,10
60238,9382,3
83098,3021,4
51822,3021,1
11234,1100,2
54213,3801,1
77214,3801,8
66235,3801,5
43955,2030,4
64228,2030,6
95715,2030,7
93654,1100,6
69627,3021,6
91429,3801,5
86927,3801,10
49839,1100,6
71148,9382,7
68519,1100,3
96276,1100,10
3713,3021,6
78475,1100,2
23898,3021,5
60434,3021,1
78979,9382,8
16204,3801,1
60114,3801,4
97813,1100,4
27985,3801,7
71398,2030,10
49883,3021,6
52905,2030,6
93572,9382,5
25994,3801,2
66107,2030,6
86089,3801,9
44455,3021,1
17661,3021,2
14578,3801,1
60955,9382,9
33443,1100,3
5424,1100,1
79709,2030,6
65251,2030,9
24539,2030,8
61667,3801,3
8354,3021,9
86106,1100,2
64622,3021,3
55921,3021,8
39628,1100,7
21548,1100,3
90742,2030,5
3531,2030,8
32978,1100,3
13083,1100,5
67672,1100,9
19172,3801,10
1807,2030,7
69931,3801,9
99649,1100,10
50847,3021,3
79230,1100,9
87565,3021,3
81724,2030,9
17946,9382,1
62165,2030,1
64257,1100,6
30247,1100,5
53280,2030,8
77181,1100,9
40134,9382,3
30108,3801,7
89453,3801,9
59351,3801,6
29036,2030,5
41102,1100,10
3620,3801,4
11492,3801,3
84844,3021,7
86660,9382,3
80427,3801,3
73652,9382,4
54139,2030,5
8096,3021,2
55485,1100,1
82952,1100,10
74601,2030,6
56118,3801,3
40106,3021,10
98961,9382,7
85879,3801,8
1954,2030,1
77410,9382,6
77099,1100,6
88961,1100,7
13966,9382,9
62487,3801,1
4702,2030,3
78781,1100,6
13436,1100,2
77525,3021,9
78380,2030,4
60067,2030,4
68596,2030,3
10639,3801,1
32537,3021,8
57833,1100,1
94096,1100,7
64510,2030,1
45744,9382,2
10888,9382,1
71136,2030,6
49723,3021,2
11950,2030,1
99538,3801,9
75632,9382,3
47010,3021,5
30286,3801,2
47679,1100,8
64072,3021,10
2885,1100,8
23310,3021,2
42444,2030,6
39124,3021,8
77377,3021,3
42273,3021,9
34166,3801,7
5925,3801,8
34749,2030,7
75664,3801,2
22673,2030,2
3911,2030,4
20324,2030,3
88043,3801,8
16610,3021,9
61986,2030,6
26586,3801,4
87616,3801,5
68194,3021,9
71907,1100,9
87582,3801,7
78688,9382,3
90445,3021,3
49693,2030,8
43574,1100,3
2162,9382,8
48660,3801,4
93993,1100,6
53753,1100,2
51040,3801,3
78206,3021,1
6797,3801,1
47336,1100,1
40874,9382,9
62033,1100,5
52470,2030,7
16795,2030,9
6420,1100,6
95694,1100,3
67804,1100,6
82956,3801,6
12234,9382,10
50400,3021,6
93392,9382,9
94023,3801,7
33805,3021,8
17743,9382,8
54621,9382,4
42843,1100,9
48361,1100,9
11141,2030,6
56197,3801,4
40167,9382,9
62762,9382,3
1594,2030,3
54236,1100,4
95395,9382,5
48872,9382,2
46605,3021,9
63391,9382,6
74188,9382,6
22984,3801,7
56334,9382,9
26632,2030,8
17597,2030,4
59790,9382,3
75518,3801,5
42941,2030,10
57751,2030,2
95061,2030,2
70706,9382,1
40393,3021,1
65517,1100,4
11506,1100,10
79299,2030,10
65980,9382,8
34533,2030,8
91854,9382,10
37207,9382,4
1793,9382,3
4924,3021,5
61006,3801,3
52676,9382,8
65483,2030,6
16280,2030,1
14834,3021,1
73824,9382,9
9393,2030,8
63937,2030,5
72038,2030,3
33768,1100,5
90930,9382,2
88360,3021,7
41295,3021,8
67207,3801,10
53437,9382,5
16369,3021,4
66130,2030,4
83734,3801,9
80763,2030,8
89779,3021,10
51100,2030,7
1647,2030,4
14287,1100,8
82699,1100,7
69276,3801,2
11571,1100,4
21023,3021,1
44784,2030,7
86606,2030,1
22444,3801,3
14714,2030,3
74725,1100,2
54980,9382,6
2192,1100,2
48280,3801,6
34714,1100,2
10490,9382,10
75192,1100,1
80245,1100,1
14975,1100,6
